name,birth_year
Jaime Threadgold,1992
Dukie Deakins,2012
Lynsey Stockford,1996
Aldis Maykin,2010
Merola Camelli,1998
Evelyn Server,1997
Corilla Pennells,2008
Karalee Mullins,2007
Juieta Leason,2007
Cary Purry,2004
Dyan Streeting,2011
Den Gourlie,1997
Stefa Ouldcott,2010
Carina Gallimore,2006
Ardene Milch,2002
Linea McCobb,2007
Doralynn Twiggs,2000
Pattie Ghidotti,1994
Adrian Relton,2006
Glen Tison,2006
Liva Yanshinov,1992
Brewster Blinman,2012
Leeland Twamley,2007
Brant Casado,1997
Blane Mathwen,2004
Jedd Zanuciolii,2006
Tirrell Shayler,1997
Doralynn Ledur,2011
Chico Velasquez,2012
Dale Quoit,1998
Elijah Swinden,2006
Bryan Olenov,2008
Gaven Kenton,2006
Tabbi Lewty,2005
Vicki Botley,2001
Katha Kirtlan,2009
Theodosia Spraggon,1996
Tremain Muldownie,2007
Viviene Greenman,2005
Codi Cockrem,2006
Virgie Eytel,2003
Abagail Gude,1990
Elisabet Corson,1999
Pauline Martinello,1997
Tammie Hamal,2007
Toddie Guyot,2007
Keri Kennicott,2009
Bruno Jedrys,2003
Calv Wakerley,1987
Foster Tiffin,2002
Masha O'Cosgra,2004
Corty Dealy,1990
Stillman Ramiro,1999
Darcee Gother,1997
Kissiah Faivre,2012
Daisy Wickliffe,2009
Mariya Garlett,2005
Karia Duffield,2002
Yetty Guilloux,2012
Lauralee Sibbering,1999
Beverlee Klimpke,1989
Karel Calvert,2004
Rheta Halfacree,2002
Brant Picford,1997
Darnall Jakeman,2009
Rosene Bellini,2009
Rori Backshaw,2000
Herta Balogun,1992
Salli Brunsen,2007
Cate Pinyon,2003
Nickolai McCroary,2008
Harriott Gaiford,2007
Marcella Rawlison,1993
Bernardina Hasloch,1994
Harvey Martino,1984
Way Alcido,1997
Fraser Densey,1987
Kevina Emett,1998
Sanford Sleany,2002
Verena Tace,2005
Gianni Higounet,2006
Vera Lightbowne,2009
Carlee Pargeter,1962
Charley Staggs,2010
Tailor Baskeyfied,2004
Lyssa Urrey,2013
Georas Eberz,1997
Mallissa Tringham,2001
Bobbette Govett,1987
Sigismondo Wheway,2004
Ambur Livingston,1993
Toddie Prettyjohns,1993
Fifi Karchewski,1997
Zarla Pinnington,1994
Courtenay Bampton,2010
Mara Cluley,1993
Felic Potteridge,2005
Wallie Morilla,1999
Sara Meah,2007
Baxter Dellenbrook,1993
